epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.6061,1.18999,3.33789,1.64194,0.00616,0.97452,0.50649,0.34572,0.8357,2.95026,1.30459,0.00015719,0.00015719,0.00015719
2,67.0567,1.05616,2.57713,1.5121,0.00593,0.98413,0.48764,0.32026,0.88274,2.63965,1.33432,0.000296132,0.000296132,0.000296132
3,70.7922,1.0517,2.35426,1.49293,0.50788,0.69685,0.60802,0.40739,0.92707,2.48036,1.36558,0.00040112,0.00040112,0.00040112
4,74.3921,1.02768,2.03479,1.45674,0.79655,0.46917,0.63223,0.4079,1.02655,2.04551,1.5161,0.000472156,0.000472156,0.000472156
5,77.9886,0.9877,1.86382,1.41776,0.70453,0.65231,0.76049,0.50322,1.05916,2.00031,1.53762,0.000509238,0.000509238,0.000509238
6,81.6266,0.96476,1.70938,1.37563,0.70009,0.73629,0.74997,0.52587,1.05332,1.59512,1.46686,0.000512368,0.000512368,0.000512368
7,85.0922,0.94669,1.57475,1.30332,0.65197,0.79666,0.7795,0.50749,1.06215,1.44453,1.4886,0.000481544,0.000481544,0.000481544
8,88.8819,0.9362,1.59276,1.33498,0.76245,0.83584,0.82234,0.52634,1.03898,1.4702,1.38215,0.000416768,0.000416768,0.000416768
9,92.599,0.90093,1.48909,1.28619,0.59921,0.83417,0.81384,0.56275,0.97792,1.25586,1.32431,0.000297232,0.000297232,0.000297232
10,96.3511,0.86669,1.45462,1.27335,0.74119,0.80821,0.84878,0.5966,0.93616,1.13245,1.28909,0.000155761,0.000155761,0.000155761
